"Name"	"File Extension"	"File Type"	"Is Deleted"	"Last Accessed"	"File Created"	"Last Modified"	"Size"	"Address"	"Hash Value"	"Known Status"	"Permissions"	"Full Path"
"Unalloc_8_12353536_101773312"	""	"r"	"yes"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"87052288"	"0"	"null"	"unknown"	"r---------"	"/img_evidence.E01/vol_vol2/$Unalloc/Unalloc_8_12353536_101773312"
"Unalloc_3_0_65536"	""	"r"	"yes"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"65536"	"0"	"null"	"unknown"	"r---------"	"/img_evidence.E01/vol_vol1/Unalloc_3_0_65536"
"Unalloc_7_101777408_104857600"	""	"r"	"yes"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"3080192"	"0"	"null"	"unknown"	"r---------"	"/img_evidence.E01/vol_vol3/Unalloc_7_101777408_104857600"
"$AttrDef"	""	"r"	""	"2025-12-02 22:43:50 IST"	"2025-12-02 22:43:50 IST"	"2025-12-02 22:43:50 IST"	"2560"	"4"	"null"	"unknown"	"rr-xr-xr-x"	"/img_evidence.E01/vol_vol2/$AttrDef"
"$AttrDef-slack"	""	"r"	""	"2025-12-02 22:43:50 IST"	"2025-12-02 22:43:50 IST"	"2025-12-02 22:43:50 IST"	"1536"	"4"	"null"	"unknown"	"rr-xr-xr-x"	"/img_evidence.E01/vol_vol2/$AttrDef-slack"
"$BadClus"	""	"r"	""	"2025-12-02 22:43:50 IST"	"2025-12-02 22:43:50 IST"	"2025-12-02 22:43:50 IST"	"0"	"8"	"null"	"unknown"	"rr-xr-xr-x"	"/img_evidence.E01/vol_vol2/$BadClus"
"$BadClus:$Bad"	""	"r"	""	"2025-12-02 22:43:50 IST"	"2025-12-02 22:43:50 IST"	"2025-12-02 22:43:50 IST"	"101707776"	"8"	"null"	"unknown"	"rr-xr-xr-x"	"/img_evidence.E01/vol_vol2/$BadClus:$Bad"
"$BadClus:$Bad-slack"	""	"r"	""	"2025-12-02 22:43:50 IST"	"2025-12-02 22:43:50 IST"	"2025-12-02 22:43:50 IST"	"101707776"	"8"	"null"	"unknown"	"rr-xr-xr-x"	"/img_evidence.E01/vol_vol2/$BadClus:$Bad-slack"
"$Bitmap"	""	"r"	""	"2025-12-02 22:43:50 IST"	"2025-12-02 22:43:50 IST"	"2025-12-02 22:43:50 IST"	"3104"	"6"	"null"	"unknown"	"rr-xr-xr-x"	"/img_evidence.E01/vol_vol2/$Bitmap"
"$Bitmap-slack"	""	"r"	""	"2025-12-02 22:43:50 IST"	"2025-12-02 22:43:50 IST"	"2025-12-02 22:43:50 IST"	"992"	"6"	"null"	"unknown"	"rr-xr-xr-x"	"/img_evidence.E01/vol_vol2/$Bitmap-slack"
"$Boot"	""	"r"	""	"2025-12-02 22:43:50 IST"	"2025-12-02 22:43:50 IST"	"2025-12-02 22:43:50 IST"	"8192"	"7"	"null"	"unknown"	"rr-xr-xr-x"	"/img_evidence.E01/vol_vol2/$Boot"
"$ObjId"	""	"r"	""	"2025-12-02 22:43:50 IST"	"2025-12-02 22:43:50 IST"	"2025-12-02 22:43:50 IST"	"0"	"25"	"null"	"unknown"	"rr-xr-xr-x"	"/img_evidence.E01/vol_vol2/$Extend/$ObjId"
"$Quota"	""	"r"	""	"2025-12-02 22:43:50 IST"	"2025-12-02 22:43:50 IST"	"2025-12-02 22:43:50 IST"	"0"	"24"	"null"	"unknown"	"rr-xr-xr-x"	"/img_evidence.E01/vol_vol2/$Extend/$Quota"
"$Reparse"	""	"r"	""	"2025-12-02 22:43:50 IST"	"2025-12-02 22:43:50 IST"	"2025-12-02 22:43:50 IST"	"0"	"26"	"null"	"unknown"	"rr-xr-xr-x"	"/img_evidence.E01/vol_vol2/$Extend/$Reparse"
"$Repair"	""	"r"	""	"2025-12-02 22:43:50 IST"	"2025-12-02 22:43:50 IST"	"2025-12-02 22:43:50 IST"	"0"	"28"	"null"	"unknown"	"rr-xr-xr-x"	"/img_evidence.E01/vol_vol2/$Extend/$RmMetadata/$Repair"
"$Repair:$Config"	""	"r"	""	"2025-12-02 22:43:50 IST"	"2025-12-02 22:43:50 IST"	"2025-12-02 22:43:50 IST"	"8"	"28"	"null"	"unknown"	"rr-xr-xr-x"	"/img_evidence.E01/vol_vol2/$Extend/$RmMetadata/$Repair:$Config"
"$Tops"	""	"r"	""	"2025-12-02 22:43:50 IST"	"2025-12-02 22:43:50 IST"	"2025-12-02 22:43:50 IST"	"100"	"32"	"null"	"unknown"	"rr-xr-xr-x"	"/img_evidence.E01/vol_vol2/$Extend/$RmMetadata/$TxfLog/$Tops"
"$Tops:$T"	""	"r"	""	"2025-12-02 22:43:50 IST"	"2025-12-02 22:43:50 IST"	"2025-12-02 22:43:50 IST"	"1048576"	"32"	"null"	"unknown"	"rr-xr-xr-x"	"/img_evidence.E01/vol_vol2/$Extend/$RmMetadata/$TxfLog/$Tops:$T"
"$TxfLog.blf"	".blf"	"r"	""	"2025-12-02 22:43:50 IST"	"2025-12-02 22:43:50 IST"	"2025-12-02 22:43:50 IST"	"65536"	"33"	"null"	"unknown"	"rrwxrwxrwx"	"/img_evidence.E01/vol_vol2/$Extend/$RmMetadata/$TxfLog/$TxfLog.blf"
"$TxfLogContainer00000000000000000001"	""	"r"	""	"2025-12-02 22:43:50 IST"	"2025-12-02 22:43:50 IST"	"2025-12-02 22:43:50 IST"	"2097152"	"34"	"null"	"unknown"	"rrwxrwxrwx"	"/img_evidence.E01/vol_vol2/$Extend/$RmMetadata/$TxfLog/$TxfLogContainer00000000000000000001"
